root,type,structure,notes
G#,13(#11),"1,3,5,b7,9,#11,13","G#,C,D#,F#,A#,D,F"
G#,11,"1,3,5,b7,9,11","G#,C,D#,F#,A#,C#"
G#,maj9,"1,3,5,7,9","G#,C,D#,G,A#"
G#,sus2,"1,2,5","G#,A#,D#"
G#,7(b13),"1,3,5,b7,b13","G#,C,D#,F#,E"
G#,maj7(#5),"1,3,#5,7","G#,C,E,G"
G#,m11,"1,b3,5,b7,9,11","G#,B,D#,F#,A#,C#"
G#,add9,"1,3,5,9","G#,C,D#,A#"
G#,m7b5,"1,b3,b5,b7","G#,B,D,F#"
G#,m13,"1,b3,5,b7,9,11,13","G#,B,D#,F#,A#,C#,F"
G#,m,"1,b3,5","G#,B,D#"
G#,7b5,"1,3,b5,b7","G#,C,D,F#"
G#,9(#11),"1,3,5,b7,9,#11","G#,C,D#,F#,A#,D"
G#,m7,"1,b3,5,b7","G#,B,D#,F#"
G#,m(maj7),"1,b3,5,7","G#,B,D#,G"
G#,dim,"1,b3,b5","G#,B,D"
G#,6,"1,3,5,6","G#,C,D#,F"
G#,7(#5),"1,3,#5,b7","G#,C,E,F#"
G#,7sus4,"1,4,5,b7","G#,C#,D#,F#"
G#,maj7,"1,3,5,7","G#,C,D#,G"
G#,5,"1,5","G#,D#"
G#,7(#11),"1,3,5,b7,#11","G#,C,D#,F#,D"
G#,13(#9),"1,3,5,b7,#9,11,13","G#,C,D#,F#,B,C#,F"
G#,m6,"1,b3,5,6","G#,B,D#,F"
G#,13(#5),"1,3,#5,b7,9,11,13","G#,C,E,F#,A#,C#,F"
G#,m6/9,"1,b3,5,6,9","G#,B,D#,F,A#"
G#,7(b9),"1,3,5,b7,b9","G#,C,D#,F#,A"
G#,m9,"1,b3,5,b7,9","G#,B,D#,F#,A#"
G#,13(b9),"1,3,5,b7,b9,11,13","G#,C,D#,F#,A,C#,F"
G#,sus4,"1,4,5","G#,C#,D#"
G#,6/9,"1,3,5,6,9","G#,C,D#,F,A#"
A,9(#5),"1,3,#5,b7,9","A,C#,F,G,B"
A,13,"1,3,5,b7,9,11,13","A,C#,E,G,B,D,F#"
A,6(#11),"1,3,5,6,#11","A,C#,E,F#,D#"
A,7(#9),"1,3,5,b7,#9","A,C#,E,G,C"
A,+(#11),"1,3,#5,#11","A,C#,F,D#"
A,9,"1,3,5,b7,9","A,C#,E,G,B"
A,9b5,"1,3,b5,b7,9","A,C#,D#,G,B"
A,maj13,"1,3,5,7,9,11,13","A,C#,E,G#,B,D,F#"
A,7,"1,3,5,b7","A,C#,E,G"
A,dim7,"1,b3,b5,A#7","A,C,D#,F#"
A,aug,"1,3,#5","A,C#,F"
A,m(maj9),"1,b3,5,7,9","A,C,E,G#,B"
A,maj,"1,3,5","A,C#,E"
A,13(#11),"1,3,5,b7,9,#11,13","A,C#,E,G,B,D#,F#"
A,11,"1,3,5,b7,9,11","A,C#,E,G,B,D"
A,maj9,"1,3,5,7,9","A,C#,E,G#,B"
A,sus2,"1,2,5","A,B,E"
A,7(b13),"1,3,5,b7,b13","A,C#,E,G,F"
A,maj7(#5),"1,3,#5,7","A,C#,F,G#"
A,m11,"1,b3,5,b7,9,11","A,C,E,G,B,D"
A,add9,"1,3,5,9","A,C#,E,B"
A,m7b5,"1,b3,b5,b7","A,C,D#,G"
A,m13,"1,b3,5,b7,9,11,13","A,C,E,G,B,D,F#"
A,m,"1,b3,5","A,C,E"
